INFO | Gasto agregado en DB
INFO | Gasto agregado en DB
INFO | Gasto agregado en DB
INFO | Gasto agregado en DB
INFO | Gasto agregado en DB
INFO | Gasto 3 eliminado
INFO | Gasto 4 modificado
INFO | Exportación CSV realizada
INFO | Gasto 4 eliminado
INFO | Gasto agregado en DB
INFO | Gasto 5 modificado
INFO | Gasto agregado en DB
INFO | Gasto 6 eliminado
INFO | Exportación CSV realizada
INFO | Gasto 2 modificado
